"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"B cells",0,0,0,3,3867,0,0,2,0,0,22,0,0,1,0,432,1,0,64
"B_cell",0,1,0,0,471,0,0,1,0,0,6,0,0,0,0,135,0,1,1
"BM",2,1,0,12,0,205,645,3,9,1560,1,0,3,0,803,55,0,0,51
"BM & Prog.",0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0
"CD4+ T cells",3256,1264,8,0,6,0,0,3,0,1,0,0,0,0,23,1,0,1,0
"CD8+ T cells",532,689,688,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0
"CMP",0,0,0,0,0,0,0,1167,0,0,1,0,119,0,0,0,0,0,0
"Dendritic cells",1,0,0,142,0,0,0,0,0,0,8,0,77,1035,0,2,666,0,0
"Endothelial_cells",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Erythroblast",2,0,0,0,0,3377,2041,0,1188,399,0,0,0,0,73,1,0,0,1
"GMP",0,0,0,0,0,0,0,220,0,0,15,0,416,121,0,1,1,0,0
"HSC_-G-CSF",0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"HSC_CD34+",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Macrophage",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"MEP",0,0,0,0,0,0,0,401,801,0,0,0,0,0,0,0,0,0,0
"Monocyte",0,1,0,5726,0,0,0,3,1,0,0,126,103,22,1,4,5,0,0
"Monocytes",0,0,0,885,0,0,0,2,0,0,0,1361,2,1,0,5,0,0,0
"Myelocyte",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"NK cells",0,0,1119,0,5,0,1,1,0,0,1,0,0,0,8,0,0,24,0
"NK_cell",9,6,2543,0,36,1,4,6,0,0,8,0,0,2,30,8,1,107,0
"Osteoblasts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Platelets",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Pre-B_cell_CD34-",9,6,6,332,1,1,0,0,0,0,3,0,418,5,3,64,3,0,2
"Pro-B_cell_CD34+",1,0,0,0,7,1,0,6,0,0,1419,0,0,9,0,10,0,1,1
"Pro-Myelocyte",0,0,0,0,0,1,5,3,2,74,0,0,318,0,67,14,0,0,0
"Progenitors",0,0,0,0,0,0,0,439,0,0,45,0,0,0,0,0,0,0,0
"T cells",196,470,4107,0,6,1,0,0,0,3,4,0,0,0,28,4,0,12,0
"T_cells",16758,8741,2086,0,62,0,3,24,2,10,14,0,1,2,134,33,0,100,1
"Tissue_stem_cells",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0
